Symbol,Strategy,Pair,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Total_Profit_$,Gross_Profit_$,Gross_Loss_$,Profit_Factor,Avg_Profit_Per_Trade_$,Expectancy_$
AUDNZD,TB_15M_1M,AUDNZD_TB_15M_1M,2,2,0,100.0,16.698611999999677,16.698611999999677,0.0,999.99,8.349305999999839,8.349305999999839
AUDJPY,FB_4H_5M,AUDJPY_FB_4H_5M,1,1,0,100.0,16.50026206298541,16.50026206298541,0.0,999.99,16.50026206298541,16.50026206298541
EURUSD,FB_15M_1M,EURUSD_FB_15M_1M,6,2,4,33.33333333333333,14.799999999999258,35.6000000000023,20.80000000000304,1.711538461538322,2.466666666666543,2.466666666666543
CADJPY,TB_15M_1M,CADJPY_TB_15M_1M,1,1,0,100.0,14.688468581559157,14.688468581559157,0.0,999.99,14.688468581559157,14.688468581559157
USDJPY,FB_15M_1M,USDJPY_FB_15M_1M,5,4,1,80.0,13.84727875089772,19.929728295686065,6.082449544788345,3.276595744680291,2.769455750179544,2.769455750179544
NZDCHF,TB_15M_1M,NZDCHF_TB_15M_1M,4,2,2,50.0,13.72709527107909,23.927964233990462,10.200868962911372,2.34567901234576,3.4317738177697725,3.4317738177697725
CADCHF,TB_15M_1M,CADCHF_TB_15M_1M,1,1,0,100.0,13.349285309490094,13.349285309490094,0.0,999.99,13.349285309490094,13.349285309490094
XOM,TB_15M_1M,XOM_TB_15M_1M,1,1,0,100.0,13.300000000000125,13.300000000000125,0.0,999.99,13.300000000000125,13.300000000000125
EURCHF,TB_15M_1M,EURCHF_TB_15M_1M,1,1,0,100.0,12.971475347899696,12.971475347899696,0.0,999.99,12.971475347899696,12.971475347899696
AUDJPY,TB_4H_5M,AUDJPY_TB_4H_5M,1,1,0,100.0,11.97077835942023,11.97077835942023,0.0,999.99,11.97077835942023,11.97077835942023
USDCHF,TB_15M_1M,USDCHF_TB_15M_1M,1,1,0,100.0,11.963982116993833,11.963982116993833,0.0,999.99,11.963982116993833,11.963982116993833
